date,gameId,playerName,team,opponent,nbaId,PTS,FGA,FTA,TOV,source
2002-05-03,gen_2002_20020503_SAS_SEA,Mark Bryant,SAS,SEA,95,4.0,2.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-05,gen_2002_20020505_LAL_SAS,Mark Bryant,SAS,LAL,95,3.0,2.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-07,gen_2002_20020507_LAL_SAS,Mark Bryant,SAS,LAL,95,6.0,4.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-12,gen_2002_20020512_LAL_SAS,Mark Bryant,SAS,LAL,95,0.0,1.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-14,gen_2002_20020514_LAL_SAS,Mark Bryant,SAS,LAL,95,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_LAL_POR,Mark Madsen,LAL,POR,2058,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-05,gen_2002_20020505_LAL_SAS,Mark Madsen,LAL,SAS,2058,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-14,gen_2002_20020514_LAL_SAS,Mark Madsen,LAL,SAS,2058,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-20,gen_2002_20020520_LAL_SAC,Mark Madsen,LAL,SAC,2058,0.0,1.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-02,gen_2002_20020602_LAL_SAC,Mark Madsen,LAL,SAC,2058,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-07,gen_2002_20020607_LAL_NJN,Mark Madsen,LAL,NJN,2058,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_DET_TOR,Michael Bradley,TOR,DET,2214,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_DET_TOR,Michael Curry,DET,TOR,688,0.0,2.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DET_TOR,Michael Curry,DET,TOR,688,4.0,2.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_DET_TOR,Michael Curry,DET,TOR,688,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-29,gen_2002_20020429_DET_TOR,Michael Curry,DET,TOR,688,3.0,1.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-02,gen_2002_20020502_DET_TOR,Michael Curry,DET,TOR,688,6.0,3.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-05,gen_2002_20020505_BOS_DET,Michael Curry,DET,BOS,688,15.0,7.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-08,gen_2002_20020508_BOS_DET,Michael Curry,DET,BOS,688,7.0,5.0,1.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-10,gen_2002_20020510_BOS_DET,Michael Curry,DET,BOS,688,3.0,4.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-12,gen_2002_20020512_BOS_DET,Michael Curry,DET,BOS,688,4.0,5.0,0.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-14,gen_2002_20020514_BOS_DET,Michael Curry,DET,BOS,688,15.0,10.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_DAL_MIN,Michael Finley,DAL,MIN,714,16.0,14.0,2.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DAL_MIN,Michael Finley,DAL,MIN,714,28.0,23.0,4.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_DAL_MIN,Michael Finley,DAL,MIN,714,30.0,17.0,9.0,4.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-04,gen_2002_20020504_DAL_SAC,Michael Finley,DAL,SAC,714,21.0,19.0,5.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-06,gen_2002_20020506_DAL_SAC,Michael Finley,DAL,SAC,714,11.0,10.0,8.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-09,gen_2002_20020509_DAL_SAC,Michael Finley,DAL,SAC,714,37.0,23.0,11.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-11,gen_2002_20020511_DAL_SAC,Michael Finley,DAL,SAC,714,28.0,24.0,4.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-13,gen_2002_20020513_DAL_SAC,Michael Finley,DAL,SAC,714,26.0,18.0,7.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-28,gen_2002_20020528_LAL_SAC,Mitch Richmond,LAL,SAC,782,1.0,0.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-12,gen_2002_20020612_LAL_NJN,Mitch Richmond,LAL,NJN,782,2.0,1.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_BOS_PHI,Raja Bell,PHI,BOS,1952,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_BOS_PHI,Raja Bell,PHI,BOS,1952,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-20,gen_2002_20020420_SAS_SEA,Randy Livingston,SEA,SAS,988,2.0,5.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-22,gen_2002_20020422_SAS_SEA,Randy Livingston,SEA,SAS,988,6.0,2.0,1.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_SAS_SEA,Randy Livingston,SEA,SAS,988,4.0,3.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-01,gen_2002_20020501_SAS_SEA,Randy Livingston,SEA,SAS,988,6.0,5.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-03,gen_2002_20020503_SAS_SEA,Randy Livingston,SEA,SAS,988,2.0,2.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_LAL_POR,Rick Brunson,POR,LAL,1594,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-25,gen_2002_20020425_LAL_POR,Rick Brunson,POR,LAL,1594,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_BOS_PHI,Rodney Rogers,BOS,PHI,915,7.0,7.0,2.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-25,gen_2002_20020425_BOS_PHI,Rodney Rogers,BOS,PHI,915,0.0,2.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_BOS_PHI,Rodney Rogers,BOS,PHI,915,13.0,9.0,0.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-01,gen_2002_20020501_BOS_PHI,Rodney Rogers,BOS,PHI,915,5.0,8.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-03,gen_2002_20020503_BOS_PHI,Rodney Rogers,BOS,PHI,915,8.0,3.0,3.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-05,gen_2002_20020505_BOS_DET,Rodney Rogers,BOS,DET,915,8.0,11.0,2.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-08,gen_2002_20020508_BOS_DET,Rodney Rogers,BOS,DET,915,13.0,12.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-10,gen_2002_20020510_BOS_DET,Rodney Rogers,BOS,DET,915,3.0,8.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-12,gen_2002_20020512_BOS_DET,Rodney Rogers,BOS,DET,915,7.0,6.0,0.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-14,gen_2002_20020514_BOS_DET,Rodney Rogers,BOS,DET,915,14.0,7.0,2.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-19,gen_2002_20020519_BOS_NJN,Rodney Rogers,BOS,NJN,915,7.0,5.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-21,gen_2002_20020521_BOS_NJN,Rodney Rogers,BOS,NJN,915,2.0,1.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-25,gen_2002_20020525_BOS_NJN,Rodney Rogers,BOS,NJN,915,10.0,4.0,6.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-27,gen_2002_20020527_BOS_NJN,Rodney Rogers,BOS,NJN,915,12.0,8.0,8.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-29,gen_2002_20020529_BOS_NJN,Rodney Rogers,BOS,NJN,915,20.0,9.0,4.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-31,gen_2002_20020531_BOS_NJN,Rodney Rogers,BOS,NJN,915,13.0,8.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_DAL_MIN,Sam Mitchell,MIN,DAL,417,6.0,5.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DAL_MIN,Sam Mitchell,MIN,DAL,417,2.0,4.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_DAL_MIN,Sam Mitchell,MIN,DAL,417,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-28,gen_2002_20020528_LAL_SAC,Scot Pollard,SAC,LAL,1513,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_SAC_UTA,Scott Padgett,UTA,SAC,1909,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DAL_MIN,Shawn Bradley,DAL,MIN,762,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-09,gen_2002_20020509_DAL_SAC,Shawn Bradley,DAL,SAC,762,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-11,gen_2002_20020511_DAL_SAC,Shawn Bradley,DAL,SAC,762,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-13,gen_2002_20020513_DAL_SAC,Shawn Bradley,DAL,SAC,762,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-05,gen_2002_20020505_LAL_SAS,Slava Medvedenko,LAL,SAS,2098,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-24,gen_2002_20020524_LAL_SAC,Slava Medvedenko,LAL,SAC,2098,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-09,gen_2002_20020609_LAL_NJN,Slava Medvedenko,LAL,NJN,2098,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_DAL_MIN,Steve Nash,DAL,MIN,959,21.0,19.0,5.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DAL_MIN,Steve Nash,DAL,MIN,959,17.0,14.0,2.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_DAL_MIN,Steve Nash,DAL,MIN,959,25.0,16.0,10.0,4.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-04,gen_2002_20020504_DAL_SAC,Steve Nash,DAL,SAC,959,12.0,12.0,1.0,4.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-06,gen_2002_20020506_DAL_SAC,Steve Nash,DAL,SAC,959,30.0,18.0,3.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-09,gen_2002_20020509_DAL_SAC,Steve Nash,DAL,SAC,959,15.0,19.0,3.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-11,gen_2002_20020511_DAL_SAC,Steve Nash,DAL,SAC,959,24.0,11.0,8.0,9.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-13,gen_2002_20020513_DAL_SAC,Steve Nash,DAL,SAC,959,12.0,9.0,3.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-14,gen_2002_20020514_LAL_SAS,Terry Porter,SAS,LAL,345,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_BOS_PHI,Tony Delk,BOS,PHI,960,0.0,0.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-31,gen_2002_20020531_BOS_NJN,Tony Delk,BOS,NJN,960,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-20,gen_2002_20020420_SAS_SEA,Vin Baker,SEA,SAS,452,22.0,16.0,3.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-22,gen_2002_20020422_SAS_SEA,Vin Baker,SEA,SAS,452,15.0,12.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_SAS_SEA,Vin Baker,SEA,SAS,452,10.0,14.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-01,gen_2002_20020501_SAS_SEA,Vin Baker,SEA,SAS,452,10.0,7.0,4.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-03,gen_2002_20020503_SAS_SEA,Vin Baker,SEA,SAS,452,9.0,9.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_BOS_PHI,Vonteego Cummings,PHI,BOS,1907,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-05,gen_2002_20020505_BOS_DET,Walter McCarty,BOS,DET,962,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-08,gen_2002_20020508_BOS_DET,Walter McCarty,BOS,DET,962,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DAL_MIN,Wang Zhi-zhi,DAL,MIN,1917,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-06,gen_2002_20020506_DAL_SAC,Wang Zhi-zhi,DAL,SAC,1917,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_LAL_POR,Zach Randolph,POR,LAL,2216,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-29,gen_2002_20020429_DET_TOR,Zeljko Rebraca,DET,TOR,1442,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
